phylum_name;species_name;lat;lon;country;province_state;region;sector;exactsite
Arthropoda;Acanthephyra pelagica;58,29;-9;United Kingdom;Scotland;NW St Kilda;45EO;
Arthropoda;Ampithoe rubricata;45,0748;-67,0676;Canada;New Brunswick;St. Andrews;Block House;Mud flat
Arthropoda;Ampithoe rubricata;45,0748;-67,0676;Canada;New Brunswick;St. Andrews;Block House;Mud flat
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;44,956;-66,9278;Canada;New Brunswick;St. Andrews;Casco Bay Island;
Arthropoda;Caprella linearis;45;-66,92;Canada;New Brunswick;St. Andrews;Simpsons Island, Bay of Fundy;rocky/sandy benthic habitat
Arthropoda;Caprella linearis;45;-66,92;Canada;New Brunswick;St. Andrews;Simpsons Island, Bay of Fundy;rocky/sandy benthic habitat
Arthropoda;Caprella linearis;45;-66,92;Canada;New Brunswick;St. Andrews;Simpsons Island, Bay of Fundy;rocky/sandy benthic habitat
Arthropoda;Caprella linearis;45;-66,92;Canada;New Brunswick;St. Andrews;Simpsons Island, Bay of Fundy;rocky/sandy benthic habitat
Arthropoda;Caprella linearis;44,9468;-66,7333;Canada;New Brunswick;St. Andrews;The Wolves, Bay of Fundy;boat dive
Arthropoda;Caprella linearis;44,9468;-66,7333;Canada;New Brunswick;St. Andrews;The Wolves, Bay of Fundy;boat dive
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Caprella linearis;44,982;-67,031;Canada;New Brunswick;Deer Island;offshore;
Arthropoda;Ampithoe rubricata;56,567;12,117;Sweden;;Kattegatt;;
Arthropoda;Ampithoe rubricata;58,291;11,179;Sweden;;Skagerrak;;
Arthropoda;Ampithoe rubricata;66,918;33,103;Russia;Murmanskaya Oblast;Murmansk;Kandalaksha Bay, Velikaya Salma Strait;Red algae dive 8m
Arthropoda;Ampithoe rubricata;66,918;33,103;Russia;Murmanskaya Oblast;Murmansk;Kandalaksha Bay, Velikaya Salma Strait;Red algae dive 8m
Arthropoda;Ampithoe rubricata;66,554;33,101;Russia;Murmanskaya Oblast;Murmansk;Kandalaksha Bay, Velikaya Salma Strait;Intertidal, rock and mud, exposed
Arthropoda;Acanthephyra pelagica;48,1083;-46,9067;Canada;Newfoundland and Labrador;Grand Bank;NAFO-3L;
Arthropoda;Ampithoe rubricata;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Ampithoe rubricata;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Ampithoe rubricata;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;50,25;-66,7;Canada;Quebec;Cote-Nord;Baie Sainte-Marguerite;
Arthropoda;Caprella linearis;NA;NA;Canada;New Brunswick;Charlotte County;St. Andrews;Passamaquoddy Bay
