Heterocythereis albomaculata
Heterorhabdus papilliger
Hexadella racovitzai
Hexaplex trunculus
Hexelasma americanum
Hiatella arctica
Hippolyte coerulescens
Hippolyte varians
Hippothoa divaricata
Holothuria (Halodeima) mexicana
Holothuria (Holothuria) tubulosa
Holothuria (Panningothuria) forskali
Holothuria (Platyperona) sanctori
Holothuria (Vaneyothuria) lentiginosa
Homarus gammarus
Homola barbata
Humerobates rostrolamellatus
Hyale stebbingi
Hyalinoecia tubicola
Hydatina vesicaria
Hydrichthys cyclothonis
Hydroides azorica
Hydroides elegans
Hygrosoma petersii
Hymedesmia (Hymedesmia) baculifera
Hymedesmia (Hymedesmia) mertoni
Hymedesmia (Hymedesmia) pansa
Hymedesmia (Hymedesmia) peachii
Hymedesmia (Hymedesmia) veneta
Hymeniacidon perlevis
Hymeniacidon rugosa
Hymenodora glacialis
Hymenodora gracilis
Hymenopenaeus debilis
Hypogastrura vernalis
Ianiropsis breviremis
Idotea balthica
Idotea granulosa
Idotea metallica
Idotea neglecta
Inachus dorsettensis
Inachus guentheri
Inachus leptochirus
Inachus phalangium
Ingolfiella azorensis
Ionthoglossa pseudocanarica
Ircinia polejaeffi
Ircinia variabilis
Irus irus
Isara cornea
Isarachnanthus maderensis
Isarachnanthus nocturnus
Ischyrocerus anguipes
Isocyamus delphinii
Jaera (Jaera) nordmanni
Janira maculosa
Janthina exigua
Janthina janthina
Janthina pallida
Jaspis incrustans
Jassa marmorata
Jassa ocia
Jassa pusilla
Javania cailleti
Jujubinus exasperatus
Jujubinus pseudogravinae
Jujubinus striatus
Kaloplocamus ramosus
Kellia suborbicularis
Keratoisis grayi
Kirchenpaueria halecioides
Kirchenpaueria pinnata
Krampella dubia
Kurtiella pellucida
Laetmogone violacea
Laevicardium crassum
Lafoea dumosa
Lafoeina tenuis
Lamellaria latens
Lamellaria perspicua
Lanice conchilega
Laomedea calceolifera
Laomedea pseudodichotoma
Lasaea adansoni
Lasaea rubra
Latreillia elegans
Latreutes fucorum
Leander tenuicornis
Leiopathes glaberrima
Lekanesphaera monodi
Lekanesphaera rugicauda
Lekanesphaera terceirae
Lembos websteri
Lentidium mediterraneum
Leptasterias (Hexasterias) polaris
Leptoclinides faeroensis
Leptopsammia pruvoti
Leucandra aspera
Leuckartiara grimaldii
Leucophytia bidentata
Leucosolenia variabilis
Leucothoe spinicarpa
Leufroyia concinna
Leufroyia leufroyi
Ligia oceanica
Liljeborgia pallida
Lima lima
Limacia clavigera
Limacina bulimoides
Limacina lesueurii
Limacina retroversa
Limacina trochiformis
Limaria hians
Limaria tuberculata
Limatula surugensis
Limnodrilus hoffmeisteri
Limopsis minuta
Liocarcinus corrugatus
Liocarcinus holsatus
Liocarcinus marmoreus
Liocarcinus pusillus
Liriope tetraphylla
Lissoclinum fragile
Lissoclinum perforatum
Lissoclinum rubrum
Litiopa melanostoma
Littorina saxatilis
Loligo forbesii
Loxoconcha rhomboidea
Lucinella divaricata
Lucinoma borealis
Luidia ciliaris
Lumbriculus variegatus
Lumbrineris latreilli
Luria lurida
Lyrodus pedicellatus
Lysmata intermedia
Lysmata nilita
Lysmata olavoi
Lysmata seticaudata
Lytocarpia myriophyllum
Macandrewia azorica
Machuella ventrisetosa
Macropipus tuberculatus
Macropodia rostrata
Madracis pharensis
Madrepora oculata
Maeotias marginata
Maera grossimana
Maera hirondellei
Maja brachydactyla
Maja cornuta
Maja squinado
Mangelia costata
Mangelia scabrida
Manzonia crassa
Manzonia madeirensis
Manzonia martinsi
Manzonia unifasciata
Marionia blainvillea
Marshallora adversa
Marthasterias glacialis
Mecynocera clausi
Megabalanus azoricus
Melanella boscii
Melanella trunca
Melarhaphe neritoides
Melita hergensis
Melita palmata
Meningodora miccyla
Merocryptus boletifer
Mesocalanus tenuicornis
Metaverruca aequalis
Metaverruca cornuta
Metaverruca recta
Metaverruca trisulcata
Metaxia abrupta
Metridia lucens lucens
Metroperiella lepralioides
Metroperiella porellidesia
Microcassiope minor
Microcosmus exasperatus
Microcosmus squamiger
Microdeutopus algicola
Microdeutopus anomalus
Microdeutopus obtusatus
Microdeutopus versiculatus
Microprotopus maculatus
Mimachlamys varia
Miracia efferata
Mitromorpha azorensis
Mitromorpha crenipicta
Modiolus adriaticus
Moerella donacina
Molgula azorensis
Molgula plana
Monocorophium sextonae
Monophorus erythrosoma
Monophorus perversus
Monophorus thiriotae
Munida intermedia
Munida sanctipauli
Munidopsis serricornis
Muriceides paucituberculata
Muricopsis cristata
Mycale (Aegogropila) contarenii
Mycale (Aegogropila) rotalis
Mycale (Aegogropila) tunicata
Mycale (Carmia) subclavata
Mycale (Mycale) massa
Mycobates tricostatus
Myosotella myosotis
Myrmecopora (Xenusa) simillima
Myrtea spinifera
Mytilus edulis
Mytilus galloprovincialis
Myxicola infundibulum
Myxilla (Myxilla) macrosigma
Myxilla (Myxilla) prouhoi
Myxilla (Myxilla) rosacea
Nais elinguis
Nannocalanus minor
Nanocassiope melanodactylus
Narella versluysi
Natica prietoi
Nausithoe punctata
Nectactis singularis
Nectopyramis thetis
Nematobothrium latum
Nematopagurus longicornis
Nemertesia antennina
Nemertesia inverta
Nemertesia norvegica
Nemertesia ramosa
Neobisium maritimum
Neocalanus gracilis
Neocyamus physeteris
Neognathophausia ingens
Neolepton cancellatum
Neolepton sulcatulum
Neolithodes grimaldii
Neopycnodonte cochlear
Nereis pelagica
Nicella granifera
Nodipecten nodosus
