Rissoella globularis
Robertianella synophthalma
Ruditapes decussatus
Ruditapes philippinarum
Rullierinereis ancornunezi
Saccostrea cuccullata
Sagartia troglodytes
Sarcotragus foetidus
Sarcotragus spinosulus
Savalia savaglia
Saxicavella jeffreysi
Scacchia oblonga
Scaphander punctostriatus
Schendyla peyerimhoffi
Schizochilus lanzarotensis
Schizopathes affinis
Scopalatum gibbera
Scrobicularia plana
Scutellastra longicosta
Scyllarides latus
Scyllarus arctus
Semicassis undulata
Sepia bertheloti
Sepia officinalis
Sepia orbignyana
Sepia smithi
Serejohyale spinidactylus
Setia fusca
Setia jansseni
Setia miae
Setia turriculata
Siderastrea radians
Similipecten similis
Similiphora similior
Sinezona cingulata
Sinezona semicostata
Siphonaria pectinata
Siphonodictyon insidiosum
Skenea nilarum
Skeneopsis planorbis
Skeneopsis sultanarum
Smaragdia viridis
Solatisonax alleryi
Solatisonax dollfusi
Solecurtus scopula
Spadella duverti
Speleobregma lanzaroteum
Speleocuma guanche
Speleophriopsis canariensis
Sphaerechinus granularis
Sphaerochthonius splendidus
Spiraserpula massiliensis
Spirobranchus polytrema
Spirula spirula
Spisula elliptica
Spisula solida
Spisula subtruncata
Spondylus gaederopus
Spondylus gussonii
Spondylus senegalensis
Spongia (Spongia) lacinulosiformis
Spongia (Spongia) nitens
Spongia (Spongia) officinalis
Sportella recondita
Stenocyathus vermiformis
Stenopus spinosus
Stenorhynchus lanceolatus
Stenorhynchus seticornis
Stenorhynchus yangi
Stenosarina davidsoni
Steringophorus blackeri
Steromphala divaricata
Sthenoteuthis pteropus
Sticteulima jeffreysiana
Sticteulima richteri
Sticteulima wareni
Stramonita haemastoma
Streptosyllis nunezi
Striarca lactea
Strobiligera brychia
Styliola subula
Swainsonia fusca
Swainsonia ocellata
Syrnola vanhareni
Systellaspis pellucida
Talochlamys multistriata
Talochlamys pusio
Tanacetipathes wirtzi
Tayuva lilacina
Tectarius isletaensis
Tectarius striatus
Tectura virginea
Tedania (Tedania) anhelans
Tegula gallina
Tellimya ferruginosa
Telmatactis cricoides
Telmatactis forskalii
Telmatactis solidago
Telodiacria danae
Telodiacria quadridentata
Terebra corrugata
Terebratulina retusa
Teredo navalis
Teredora malleolus
Tethya irregularis
Thalamophyllia gasti
Thenea wyvillei
Theonella atlantica
Thracia pubescens
Thyasira flexuosa
Thylacodes arenarius
Thylaeodus rugulosus
Tjaernoeia unisulcata
Tonna pennata
Trabecula jeffreysiana
Trapania bajamarensis
Tricolia entomocheila
Tricolia nordsiecki
Tricolia pullus
Tricolia tingitana
Trimusculus mammillaris
Tritia conspersa
Tritia corniculum
Tritia cuvierii
Tritia denticulata
Tritia incrassata
Tritia pfeifferi
Tritia reticulata
Trivia arctica
Trivia candidula
Trivia mediterranea
Trivia monacha
Trona stercoraria
Truncatella subcylindrica
Turbonilla lactea
Turritella bicingulata
Turritella torulosa
Turritella turbona
Turritellinella tricarinata
Tylodina perversa
Typhlopolycystis pluvialiae
Umbraculum umbraculum
Ungulina rubra
Vannuccia campana
Velella velella
Venerupis corrugata
Venus casina
Venus nux
Venus verrucosa
Vexillum luculentum
Vitreolina cionella
Vitreolina incurva
Vitreolina philippi
Volvarina artilesi
Volvarina enrici
Volvarina exilis
Volvarina fanabeensis
Volvarina jordani
Volvarina lorenzoi
Volvarina luzmarina
Volvarina oteroi
Volvarina yaeli
Weinkauffia macandrewii
Williamia gussoni
Xantho hydrophilus
Xantho poressa
Xantho sexdentatus
Xestospongia plana
Yoldiella insculpta
Yoldiella jeffreysi
Yoldiella lenticula
Yoldiella lucida
Yoldiella philippiana
Yoldiella veletta
Zebina paivensis
Zonaria pyrum
